title	year	authors	venue	url	thumbnail	code_url	highlight	award
Seeing the Unseen: Visual Common Sense for Semantic Placement	2024	"Ram Ramrakhya, Aniruddha Kembhavi, Dhruv Batra, Zsolt Kira, Kuo-Hao Zeng, Luca Weihs"	CVPR	https://ram81.github.io/projects/seeing-unseen.html	seeing-the-unseen.png	https://github.com/Ram81/seeing-unseen	1	
Imitating Shortest Paths in Simulation Enables Effective Navigation and Manipulation in the Real World	2024	"Kiana Ehsani*, Tanmay Gupta*, Rose Hendrix*, Jordi Salvador*, Luca Weihs*, Kuo-Hao Zeng*, Kunal Pratap Singh, Yejin Kim, Winson Han, Alvaro Herrasti, Ranjay Krishna, Dustin Schwenk, Eli VanderBilt, Aniruddha Kembhavi"	CVPR	https://spoc-robot.github.io/	spoc.jpg	https://github.com/allenai/spoc-robot-training	1	
Promptable behaviors: Personalizing multi-objective rewards from human preferences	2024	"Minyoung Hwang, Luca Weihs, Chanwoo Park, Kimin Lee, Aniruddha Kembhavi, Kiana Ehsani"	CVPR	https://promptable-behaviors.github.io/	promptable-behaviors.png	https://github.com/allenai/promptable-behaviors	1	
Holodeck: Language guided generation of 3d embodied ai environments	2024	"Yue Yang*, Fan-Yun Sun*, Luca Weihs*, Eli VanderBilt, Alvaro Herrasti, Winson Han, Jiajun Wu, Nick Haber, Ranjay Krishna, Lingjie Liu, Chris Callison-Burch, Mark Yatskar, Aniruddha Kembhavi, Christopher Clark"	CVPR	https://yueyang1996.github.io/holodeck/	"<iframe src=""https://giphy.com/embed/cLlCYIx24l2mumLdKp"" width=""100%"" frameBorder=""0"" class=""giphy-embed"" allowFullScreen></iframe>"	https://github.com/allenai/Holodeck	1	
Universal Visual Decomposer: Long-Horizon Manipulation Made Easy	2024	"Zichen Zhang, Yunshuang Li, Osbert Bastani, Abhishek Gupta, Dinesh Jayaraman, Yecheng Jason Ma, Luca Weihs"	ICRA	https://zcczhang.github.io/UVD/	uvd.png	https://github.com/zcczhang/UVD/	1	ICRA'24 Best Paper Award Finalist (Robot Vision)
Objaverse: A universe of annotated 3d objects	2023	"Matt Deitke, Dustin Schwenk, Jordi Salvador, Luca Weihs, Oscar Michel, Eli VanderBilt, Ludwig Schmidt, Kiana Ehsani, Aniruddha Kembhavi, Ali Farhadi"	CVPR	https://objaverse.allenai.org/objaverse-1.0	objaverse.png	https://github.com/allenai/objaverse-xl	1	
ProcTHOR: Large-Scale Embodied AI Using Procedural Generation	2022	"Matt Deitke, Eli VanderBilt, Alvaro Herrasti, Luca Weihs, Kiana Ehsani, Jordi Salvador, Winson Han, Eric Kolve, Aniruddha Kembhavi, Roozbeh Mottaghi"	NeurIPS	https://procthor.allenai.org/	procthor.png	https://github.com/allenai/procthor	1	Outstanding Paper Award @ NeurIPS'22
Benchmarking progress to infant-level physical reasoning in AI	2022	"Luca Weihs, Amanda Yuile, Renee Baillargeon, Cynthia Fisher, Gary Marcus, Roozbeh Mottaghi, Aniruddha Kembhavi"	TMLR	https://allenai.org/project/inflevel/home	inflevel.png		1	
Learning Generalizable Visual Representations via Interactive Gameplay	2021	"Luca Weihs, Aniruddha Kembhavi, Kiana Ehsani, Sarah M. Pratt, Winson Han, Alvaro Herrasti, Eric Kolve, Dustin Schwenk, Roozbeh Mottaghi, Ali Farhadi"	ICLR	https://prior.allenai.org/projects/cache	cache.png		1	
Towards Disturbance-Free Visual Mobile Manipulation	2021	"Tianwei Ni, Kiana Ehsani, Luca Weihs*, Jordi Salvador*"	arXiv	https://arxiv.org/pdf/2112.12612.pdf	disturb-free.gif	https://sites.google.com/view/disturb-free	0	
"The Introspective Agent: Interdependence of Strategy, Physiology, and Sensing for Embodied Agents"	2022	"Sarah Pratt, Luca Weihs, Ali Farhadi"	arXiv	https://arxiv.org/pdf/2201.00411.pdf	introspective.png		0	
Bridging the Imitation Gap by Adaptive Insubordination	2021	"Luca Weihs*, Unnat Jain*, Iou-Jen Liu, Jordi Salvador, Svetlana Lazebnik, Aniruddha Kembhavi, Alexander Schwing"	NeurIPS	https://openreview.net/forum?id=Wlx0DqiUTD_	advisor.jpg	https://github.com/allenai/advisor	0	
Simple but Effective: CLIP Embeddings for Embodied AI	2021	"Apoorv Khandelwal*, Luca Weihs*, Roozbeh Mottaghi, Aniruddha Kembhavi"	arXiv	https://arxiv.org/abs/2111.09888	embclip_teaser.png		0	
Visual Room Rearrangement	2021	"Luca Weihs, Matt Deitke, Aniruddha Kembhavi, Roozbeh Mottaghi"	CVPR	https://ai2thor.allenai.org/rearrangement/	rearrangement.jpg	https://github.com/allenai/ai2thor-rearrangement	0	
Learning Generalizable Visual Representations via Interactive Gameplay	2021	"Luca Weihs, Aniruddha Kembhavi, Kiana Ehsani, Sarah M Pratt, Winson Han, Alvaro Herrasti, Eric Kolve, Dustin Schwenk, Roozbeh Mottaghi, Ali Farhadi"	ICLR	https://openreview.net/pdf?id=UuchYL8wSZo	cache.jpg		0	
AllenAct: A Framework for Embodied AI Research	2020	"Luca Weihs, Jordi Salvador, Klemen Kotar, Unnat Jain, Kuo-Hao Zeng, Roozbeh Mottaghi, Aniruddha Kembhavi"	arXiv	https://allenact.org/	allenact.png	https://github.com/allenai/allenact	1	
